id	name	image
1	Antoni Tàpies	(1923-2012)
3	Diego Rivera	(1886-1957)
4	Raúl Anguiano Valadez	 (1923-2006)
5	Armando Reverón	(1889-1954)
6	Bartolomé Murillo	(1617 - 1682)
7	Carlos Mérida	(1881-1973)
8	Claudio Coello	(1642-1693)
9	Diego Velázquez	(1599-1660)
10	David Alfaro Siqueiros	(1896-1974)
11	Dr. Atl (Gerardo Murillo Cornado)	(1875-1964)
12	Francisco de Goya	(1599-1660)
13	El Greco (Doménikos Theotokópoulos)	(1541-1614)
14	Francisco de Zurbarán	(1598-1664)\n
15	José de Jesús Francisco Zúñiga Chavarría	 (1912-1988)
16	Magdalena Carmen Frida Kahlo y Calderón	(1907-1954)
17	Joan Miró i Ferrà	(1893 - 1983)
18	Joaquin Sorolla y Bastida	(1863-1923)
19	Joaquín Torres García	(1874-1949)
20	José Clemente Orozco	(1881-1973)
21	José de Ribera	(1591 - 1652)
22	José Luis Cuevas Novelo	(1934-2017)
23	José María Velasco Gómez	(1840-1912)
24	Juan Carreño	(1614-1685)
25	Juan Gris (José Victoriano Carmelo Carlos González Pérez)	(1887 - 1927)
26	Leonora Carrington	(1917-2011)
27	María Gutiérrez Cueto y Blanchard	(1881-1932)
28	Mario Orozco Rivera	(1930-1998)\n
29	Oswaldo Guayasamín	(1919-1999)
30	Pablo Ruiz Picasso	(1881-1973)
31	Pedro Berruguete	(1480-1504)
32	Pedro Coronel	(1921-1985)
33	Pedro Figari	(1861-1938)
34	Raquel Forner	(1902-1988)
35	Maria de los Remedios Alicia Rodriga Varo y Uranga	(1908-1963)
36	Roberto Sebastián Antonio Matta Echaurren	(1911-2002)
37	Rufino del Carmen Arellanes Tamayo	(1899-1991)
38	Salvador Dalí (Salvador Felipe Jacinto Dalí i Domènech)	(1904-1989)
39	Chaim Soutine	 (1894-1943)
40	Alexej Von Jawlensky	 (1864-1941)
41	El Lissitzky	 (1890-1941)
42	David Burliuk	 (1882-1967)
43	Ilia Repin	(1844-1930)
44	Isaac Levitan	 (1860-1900)
45	Iván Aivazovski	 (1817-1900)
46	Ivan Vasilievich Kliun	 (1837-1943)
47	Léon Bakst	(1866-1924)
48	Liubov Popova	 (1889-1924)
49	Mijaíl Lariónov	 (1881-1964)
